,address
123,"('37.568938 55.684275', 'Академический район')"
124,"('37.568938 55.684275', 'Академический район')"
125,"('37.564257 55.678458', 'Академический район')"
126,"('37.564141 55.679818', 'Академический район')"
127,"('37.557233 55.67194', 'район Черёмушки')"
128,"('37.558032 55.675306', 'район Черёмушки')"
129,"('37.552355 55.669412', 'Обручевский район')"
130,"('37.520141 55.649886', 'район Коньково')"
131,"('37.520294 55.63131', 'район Коньково')"
132,"('37.507789 55.631757', 'район Тёплый Стан')"
133,"('37.505319 55.631285', 'район Тёплый Стан')"
134,"('37.637048 55.803995', 'Алексеевский район')"
135,"('37.506091 55.805776', 'район Сокол')"
136,"('37.504025 55.630116', 'район Тёплый Стан')"
137,"('37.498222 55.655783', 'Не определен')"
138,"('37.484406 55.649251', 'Не определен')"
139,"('37.632098 55.780319', 'Мещанский район')"
140,"('37.632098 55.780319', 'Мещанский район')"
141,"('37.642042 55.820642', 'Алексеевский район')"
142,"('37.642042 55.820642', 'Алексеевский район')"
143,"('37.475603 55.667345', 'район Тропарёво-Никулино')"
144,"('37.473123 55.655254', 'район Тропарёво-Никулино')"
145,"('37.549273 55.745954', 'район Дорогомилово')"
146,"('37.540784 55.74147', 'район Дорогомилово')"
147,"('37.545267 55.744531', 'район Дорогомилово')"
148,"('37.517338 55.803681', 'район Сокол')"
149,"('37.517338 55.803681', 'район Сокол')"
150,"('37.517338 55.803681', 'район Сокол')"
151,"('37.718139 55.605902', 'район Орехово-Борисово Южное')"
152,"('37.621678 55.700486', 'Донской район')"
153,"('37.621678 55.700486', 'Донской район')"
154,"('37.598348 55.591259', 'район Чертаново Южное')"
155,"('37.550423 55.66932', 'Обручевский район')"
156,"('37.527831 55.647468', 'район Коньково')"
157,"('37.523465 55.64192', 'район Коньково')"
158,"('37.523465 55.64192', 'район Коньково')"
159,"('37.523465 55.64192', 'район Коньково')"
160,"('37.523465 55.64192', 'район Коньково')"
161,"('37.523465 55.64192', 'район Коньково')"
162,"('37.523465 55.64192', 'район Коньково')"
163,"('37.509352 55.661333', 'Обручевский район')"
164,"('37.562667 55.674006', 'район Черёмушки')"
165,"('37.475513 55.652659', 'район Тропарёво-Никулино')"
166,"('37.511409 55.807375', 'район Сокол')"
167,"('37.511508 55.807956', 'район Сокол')"
168,"('37.511508 55.807956', 'район Сокол')"
169,"('37.608886 55.727491', 'район Якиманка')"
170,"('37.634964 55.808235', 'Останкинский район')"
171,"('37.632646 55.774644', 'Мещанский район')"
172,"('37.518111 55.633709', 'район Тёплый Стан')"
173,"('37.603451 55.724434', 'район Якиманка')"
174,"('37.531631 55.677935', 'Ломоносовский район')"
175,"('37.528163 55.674184', 'Ломоносовский район')"
176,"('37.513395 55.665309', 'Обручевский район')"
177,"('37.57484 55.706741', 'Гагаринский район')"
178,"('37.583697 55.706533', 'Гагаринский район')"
179,"('37.539329 55.680087', 'Ломоносовский район')"
180,"('37.557197 55.692064', 'Гагаринский район')"
181,"('37.55487 55.692232', 'Гагаринский район')"
182,"('37.55487 55.692232', 'Гагаринский район')"
183,"('37.609461 55.728292', 'район Якиманка')"
184,"('37.609901 55.727136', 'район Якиманка')"
185,"('37.609901 55.727136', 'район Якиманка')"
186,"('37.605508 55.72416', 'район Якиманка')"
187,"('37.516449 55.681712', 'Ломоносовский район')"
188,"('37.516449 55.681712', 'Ломоносовский район')"
189,"('37.516449 55.681712', 'Ломоносовский район')"
190,"('37.516449 55.681712', 'Ломоносовский район')"
191,"('37.516449 55.681712', 'Ломоносовский район')"
192,"('37.516449 55.681712', 'Ломоносовский район')"
193,"('37.601304 55.724677', 'район Якиманка')"
194,"('37.611392 55.729529', 'район Якиманка')"
195,"('37.611392 55.729529', 'район Якиманка')"
196,"('37.611392 55.729529', 'район Якиманка')"
197,"('37.593102 55.718035', 'район Якиманка')"
198,"('37.519764 55.802659', 'район Сокол')"
199,"('37.623995 55.678052', 'Нагорный район')"
200,"('37.617204 55.633922', 'район Чертаново Северное')"
201,"('37.617572 55.661816', 'Не определен')"
202,"('37.623492 55.680311', 'Нагорный район')"
203,"('37.595168 55.587687', 'район Чертаново Южное')"
204,"('37.621579 55.663918', 'Нагорный район')"
205,"('37.619665 55.697199', 'Донской район')"
206,"('37.614096 55.614378', 'район Чертаново Центральное')"
207,"('37.62051 55.655823', 'Не определен')"
208,"('37.619513 55.622416', 'район Чертаново Северное')"
209,"('37.614428 55.624896', 'район Чертаново Северное')"
210,"('37.51529 55.630441', 'район Тёплый Стан')"
211,"('37.514715 55.630614', 'район Тёплый Стан')"
212,"('37.506262 55.622832', 'район Тёплый Стан')"
213,"('37.529699 55.645258', 'район Коньково')"
214,"('37.571857 55.687046', 'Академический район')"
215,"('37.570123 55.685437', 'Академический район')"
216,"('37.52616 55.635533', 'район Коньково')"
217,"('37.482223 55.644094', 'район Тёплый Стан')"
218,"('37.498995 55.624012', 'район Тёплый Стан')"
219,"('37.568426 55.678148', 'Академический район')"
220,"('37.5092 55.666909', 'район Проспект Вернадского')"
221,"('37.485619 55.653705', 'район Тропарёво-Никулино')"
222,"('37.477049 55.667264', 'район Тропарёво-Никулино')"
223,"('37.488556 55.665705', 'район Тропарёво-Никулино')"
224,"('37.502292 55.67325', 'район Проспект Вернадского')"
225,"('37.48817 55.672082', 'район Проспект Вернадского')"
226,"('37.506038 55.67559', 'район Проспект Вернадского')"
227,"('37.606909 55.727136', 'район Якиманка')"
228,"('37.606909 55.727136', 'район Якиманка')"
229,"('37.606909 55.727136', 'район Якиманка')"
230,"('37.606909 55.727136', 'район Якиманка')"
231,"('37.608086 55.727465', 'район Якиманка')"
232,"('37.568614 55.704286', 'Гагаринский район')"
233,"('37.56671 55.702551', 'Гагаринский район')"
234,"('37.517455 55.681057', 'Ломоносовский район')"
235,"('37.54427 55.686203', 'Гагаринский район')"
236,"('37.525163 55.671366', 'Обручевский район')"
237,"('37.523249 55.67127', 'Обручевский район')"
238,"('37.559541 55.673905', 'район Черёмушки')"
239,"('37.559541 55.673905', 'район Черёмушки')"
240,"('37.557233 55.67194', 'район Черёмушки')"
241,"('37.483104 55.651186', 'район Тропарёво-Никулино')"
242,"('37.483104 55.651186', 'район Тропарёво-Никулино')"
243,"('37.483104 55.651186', 'район Тропарёво-Никулино')"
244,"('37.483104 55.651186', 'район Тропарёво-Никулино')"
245,"('37.483104 55.651186', 'район Тропарёво-Никулино')"
246,"('37.483104 55.651186', 'район Тропарёво-Никулино')"
247,"('37.476088 55.660968', 'район Тропарёво-Никулино')"
248,"('37.476088 55.660968', 'район Тропарёво-Никулино')"
249,"('37.479097 55.672372', 'район Тропарёво-Никулино')"
250,"('37.483616 55.653101', 'район Тропарёво-Никулино')"
251,"('37.49162 55.664299', 'район Тропарёво-Никулино')"
252,"('37.490371 55.663202', 'район Тропарёво-Никулино')"
253,"('37.504483 55.672808', 'район Проспект Вернадского')"
254,"('37.495455 55.675758', 'район Проспект Вернадского')"
255,"('37.48561 55.662882', 'район Тропарёво-Никулино')"
256,"('37.535924 55.79512', 'Хорошёвский район')"
257,"('37.542842 55.794629', 'Хорошёвский район')"
258,"('37.525612 55.801369', 'Хорошёвский район')"
259,"('37.531199 55.798935', 'Хорошёвский район')"
260,"('37.574588 55.783463', 'район Беговой')"
261,"('37.574588 55.783463', 'район Беговой')"
262,"('37.560727 55.784111', 'район Беговой')"
263,"('37.530822 55.799806', 'Хорошёвский район')"
264,"('37.538422 55.792736', 'Хорошёвский район')"
265,"('37.532601 55.799036', 'Хорошёвский район')"
266,"('37.532601 55.799036', 'Хорошёвский район')"
267,"('37.532601 55.799036', 'Хорошёвский район')"
268,"('37.532601 55.799036', 'Хорошёвский район')"
269,"('37.532601 55.799036', 'Хорошёвский район')"
270,"('37.546605 55.792007', 'Хорошёвский район')"
271,"('37.539877 55.79056', 'Хорошёвский район')"
272,"('37.52916 55.802341', 'район Аэропорт')"
273,"('37.52916 55.802341', 'район Аэропорт')"
274,"('37.52916 55.802341', 'район Аэропорт')"
275,"('37.570779 55.782005', 'район Беговой')"
276,"('37.482304 55.654035', 'район Тропарёво-Никулино')"
277,"('37.562146 55.785392', 'район Беговой')"
278,"('37.56945 55.784622', 'район Беговой')"
279,"('37.56945 55.784622', 'район Беговой')"
280,"('37.545159 55.795909', 'район Аэропорт')"
281,"('37.570231 55.784207', 'район Беговой')"
282,"('37.569225 55.783165', 'район Беговой')"
283,"('37.569225 55.783165', 'район Беговой')"
284,"('37.574983 55.78198', 'район Беговой')"
285,"('37.574624 55.780507', 'район Беговой')"
286,"('37.627023 55.667711', 'район Нагатино-Садовники')"
287,"('37.697478 55.639806', 'район Москворечье-Сабурово')"
288,"('37.697478 55.639806', 'район Москворечье-Сабурово')"
289,"('37.661734 55.648946', 'район Москворечье-Сабурово')"
290,"('37.709093 55.624505', 'район Орехово-Борисово Северное')"
291,"('37.690722 55.640462', 'район Москворечье-Сабурово')"
292,"('37.625289 55.67995', 'район Нагатино-Садовники')"
293,"('37.70841 55.624932', 'район Орехово-Борисово Северное')"
294,"('37.7123 55.614927', 'район Орехово-Борисово Северное')"
295,"('37.67413 55.643673', 'район Москворечье-Сабурово')"
296,"('37.643085 55.656514', 'район Москворечье-Сабурово')"
297,"('37.664393 55.64987', 'район Москворечье-Сабурово')"
298,"('37.624085 55.684498', 'район Нагатино-Садовники')"
299,"('37.646705 55.654934', 'район Москворечье-Сабурово')"
300,"('37.624022 55.686284', 'район Нагатино-Садовники')"
301,"('37.660314 55.837308', 'район Ростокино')"
302,"('37.631272 55.775069', 'Мещанский район')"
303,"('37.633769 55.780664', 'Мещанский район')"
304,"('37.631577 55.778527', 'Мещанский район')"
305,"('37.633158 55.77798', 'Мещанский район')"
306,"('37.633158 55.77798', 'Мещанский район')"
307,"('37.633158 55.77798', 'Мещанский район')"
308,"('37.633158 55.77798', 'Мещанский район')"
309,"('37.633158 55.77798', 'Мещанский район')"
310,"('37.633158 55.77798', 'Мещанский район')"
311,"('37.647037 55.822276', 'Алексеевский район')"
312,"('37.647037 55.822276', 'Алексеевский район')"
313,"('37.647037 55.822276', 'Алексеевский район')"
314,"('37.647037 55.822276', 'Алексеевский район')"
315,"('37.647037 55.822276', 'Алексеевский район')"
316,"('37.647037 55.822276', 'Алексеевский район')"
317,"('37.647037 55.822276', 'Алексеевский район')"
318,"('37.647037 55.822276', 'Алексеевский район')"
319,"('37.647037 55.822276', 'Алексеевский район')"
320,"('37.647037 55.822276', 'Алексеевский район')"
321,"('37.647037 55.822276', 'Алексеевский район')"
322,"('37.647037 55.822276', 'Алексеевский район')"
323,"('37.647037 55.822276', 'Алексеевский район')"
324,"('37.635287 55.812044', 'Останкинский район')"
325,"('37.636823 55.802791', 'Алексеевский район')"
326,"('37.633347 55.779246', 'Мещанский район')"
327,"('37.633499 55.777975', 'Мещанский район')"
328,"('37.636841 55.81871', 'Останкинский район')"
329,"('37.634497 55.782248', 'Мещанский район')"
330,"('37.635107 55.803646', 'Останкинский район')"
331,"('37.635826 55.787518', 'Мещанский район')"
332,"('37.455408 55.725737', 'район Фили-Давыдково')"
